logAlphaUK,logAlphaEU,logAlphaW,logBeta1UK,logBeta1EU,logBeta1W,logBeta1Tilde,logBeta2UK,logBeta2EU,logBeta2W,logBeta2Tilde,logRhoUK,logRhoEU,logRhoW
0.31513860228913,-0.68486139771087,-0.68486139771087,0.0173531874596021,-0.982646812540398,-0.982646812540398,0.0314642362440633,0.0191779469178195,-0.980822053082181,-0.980822053082181,0.0229894286353721,0.0105062194143308,-0.989493780585669,-0.989493780585669
0.0262265438218172,-0.973773456178183,-0.973773456178183,0.0221228358270654,-0.977877164172935,-0.977877164172935,0.0432385695702847,0.0227942168897034,-0.977205783110297,-0.977205783110297,0.0388414759928254,0,0,0
0.30970300419065,-0.69029699580935,-0.69029699580935,0.149316623059676,-0.850683376940324,-0.850683376940324,0.17060055129367,0.182935765146932,-0.817064234853068,-0.817064234853068,0.160511579904412,0.29409516959413,-0.70590483040587,-0.70590483040587
0.121542859381452,-0.878457140618548,-0.878457140618548,0,0,0,0.0198561602308017,0,0,0,0.0195538263823196,0.0446842738366572,-0.955315726163343,-0.955315726163343
0.00830226480084462,-0.991697735199155,-0.991697735199155,0,0,0,0.163748987186707,0,0,0,0.161524951533541,0,0,0
0.20722373492632,-0.79277626507368,-0.79277626507368,0.00632746596600475,-0.993672534033995,-0.993672534033995,0.063419676477378,0.00632746596600475,-0.993672534033995,-0.993672534033995,0.0624540358582441,0,0,0
0.121648586721189,-0.878351413278811,-0.878351413278811,0,0,0,0.0779647370986429,0,0,0,0.0767776304909736,0,0,0
0.126698154518723,-0.873301845481277,-0.873301845481277,0,0,0,0.120572613931178,0,0,0,0.114341593810728,0,0,0
0.0531152519299505,-0.94688474807005,-0.94688474807005,0,0,0,0.105126461259164,0,0,0,0.103525784832285,0,0,0
0.129439142352017,-0.870560857647983,-0.870560857647983,0,0,0,0.0100796009122707,0,0,0,0.0101932193129655,0.448564794953508,-0.551435205046492,-0.551435205046492
0.0860478670992216,-0.913952132900778,-0.913952132900778,0,0,0,0.0525932739712947,0,0,0,0.0517924783119533,0,0,0
0,0,0,0,0,0,0.012887222079802,0,0,0,0.0126909986709283,0,0,0
0.0302001269518124,-0.969799873048188,-0.969799873048188,0,0,0,0.0378931012542482,0,0,0,0.0373161333510911,0,0,0
0.0922134280054118,-0.907786571994588,-0.907786571994588,0.0947677629684768,-0.905232237031523,-0.905232237031523,0.0036127593532876,0.0947677629684768,-0.905232237031523,-0.905232237031523,0.00355775076017479,0,0,0
0.105039912292547,-0.894960087707453,-0.894960087707453,0.107870131986984,-0.892129868013016,-0.892129868013016,0.0339338373320843,0.110180902069184,-0.889819097930816,-0.889819097930816,0.0618199841164697,0,0,0
0.0522031758850038,-0.947796824114996,-0.947796824114996,0,0,0,0.0166445175056181,0,0,0,0.0163910847686182,0,0,0
