logP_uk,logP_eu,logP_w,x1,x1_uk,x1_eu,x1_w,beta,beta_uk,beta_eu,beta_w,dlogbeta_uk,dlogbeta_eu,dlogbeta_w
0.653415036459823,-1.886671314693,-1.886671314693,0.00607748624711487,0.998026572336621,0.000986713831689595,0.000986713831689595,3.28291194004284e-05,0.965594758195804,7.52832787520236e-05,7.52832787520236e-05,0.0173531874596021,-0.982646812540398,-0.982646812540398
0.0496977164119816,-1.886671314693,-1.886671314693,0.052478260335704,0.99822880054702,0.000885599726489979,0.000885599726489979,8.64492124075529e-05,0.956243748210901,0.000122354966257823,0.000122354966257823,0.0221228358270654,-0.977877164172935,-0.977877164172935
1.39593943290415,-1.886671314693,-1.886671314693,0.376392583137838,0.708988878377591,0.145505560811205,0.145505560811205,0.00806561432663282,0.723662207802594,0.00557386348048632,0.00557386348048632,0.149316623059676,-0.850683376940324,-0.850683376940324
0.121884646730321,-1.886671314693,-1.886671314693,0.00448256295709382,1,0,0,7.82863069368674e-06,1,0,0,0,0,0
1.78383600926777,-1.886671314693,-1.886671314693,0.0905365304213887,1,0,0,0.00439072126196213,1,0,0,0,0,0
0.725573132981557,-1.886671314693,-1.886671314693,0.0434148965466488,0.999723747366967,0.000138126316516454,0.000138126316516454,0.000259981358968969,0.987385104893541,1.00092063877373e-05,1.00092063877373e-05,0.00632746596600475,-0.993672534033995,-0.993672534033995
1.24053855366697,-1.886671314693,-1.886671314693,0.0289657521384648,1,0,0,0.000473908672453079,1,0,0,0,0,0
1.45430722118709,-1.886671314693,-1.886671314693,0.0698649056717837,1,0,0,0.00175285514879649,1,0,0,0,0,0
0.942415304712161,-1.886671314693,-1.886671314693,0.12890591749256,1,0,0,0.00116181274579104,1,0,0,0,0,0
-2.50368656607688,-1.886671314693,-1.886671314693,0.111869779559707,1,0,0,1.02407086721392e-06,1,0,0,0,0,0
0.261369056772063,-1.886671314693,-1.886671314693,0.0630197379479585,1,0,0,0.000145475755216941,1,0,0,0,0,0
-0.342186658979154,-1.886671314693,-1.886671314693,0.0031003144465786,1,0,0,2.1403161955652e-06,1,0,0,0,0,0
0.442873449462935,-1.886671314693,-1.886671314693,0.0163950864544408,1,0,0,5.44102161288049e-05,1,0,0,0,0,0
-1.37440099798995,-1.886671314693,-1.886671314693,0.000496230213644835,0.990936555891239,0.00453172205438067,0.00453172205438067,6.35677833287684e-08,0.819445402961096,0.00224523222451235,0.00224523222451235,0.0947677629684768,-0.905232237031523,-0.905232237031523
1.193121015367,-1.886671314693,-1.886671314693,0.00314692020078302,0.862797518249227,0.0686012408753864,0.0686012408753864,5.50319221751674e-05,0.795895701400921,0.00290899134372233,0.00290899134372233,0.107870131986984,-0.892129868013016,-0.892129868013016
0.686808640643304,-1.886671314693,-1.886671314693,0.000853036228289761,1,0,0,4.6111965138232e-06,1,0,0,0,0,0
