gammaM,gammaMEU,gammaMW,gammaMUK,logGammaM,logGammaMUK,logGammaMEU,logGammaMW
0.0564727490759856,0.0047000513285853,0.0047000513285853,0.744572523893656,-0.839888913135462,-0.296999543734822,-5.34730050269678,-5.34730050269678
0.00136202741570295,0.0134183412349519,0.0134183412349519,0.590323108913947,-5.75043693684886,-0.91038950579524,-3.39831182203859,-3.39831182203859
0.0199604165919929,0.00333144988508717,0.00333144988508717,0.782450945644576,-2.71165350668466,-0.205080810764453,-6.0429553504932,-6.0429553504932
0.000402612992136589,0.00355055850551654,0.00355055850551654,0.775855981506394,-7.26513377659788,-0.219613311003562,-5.91316459971042,-5.91316459971042
0.00101997870640207,0.0137040665887935,0.0137040665887935,0.586558788656529,-6.07969024304375,-0.930653121989251,-3.36364097847667,-3.36364097847667
0.000386485961565797,0.00390585678282906,0.00390585678282906,0.765636010397464,-6.77107372501628,-0.243338831507092,-5.71962554663564,-5.71962554663564
0.00464066801881747,0.00403624129642421,0.00403624129642421,0.76201928615505,-4.54399210410048,-0.252091767173399,-5.65323502195796,-5.65323502195796
0.000134103657689645,0.00342387935295651,0.00342387935295651,0.779639819665961,-7.62013994951037,-0.211201607697839,-5.98714454823104,-5.98714454823104
0.000394332923004674,0.00477303375061997,0.00477303375061997,0.742743550765253,-6.97759103231505,-0.301969277379842,-5.31653401954891,-5.31653401954891
0.000244817185671592,0.00379203495254615,0.00379203495254615,0.768850135513425,-6.89919615262778,-0.235717629893082,-5.77953146043241,-5.77953146043241
0.000295247997101628,0.0038648719031754,0.0038648719031754,0.766787111883498,-7.06566029966958,-0.240592426816908,-5.7409810538137,-5.7409810538137
0,0,0,0,0,0,0,0
1.33467400962337e-05,0.00260677254441372,0.00260677254441372,0.80620084134901,-9.56962882359938,-0.157629871716668,-6.54589719172132,-6.54589719172132
0.000104907003159305,0.0020664748571895,0.0020664748571895,0.826431915490023,-7.75511536166659,-0.122972648591825,-7.02534664414009,-7.02534664414009
0.000235331420467696,0.00326901443504859,0.00326901443504859,0.784374875056813,-6.65628558771563,-0.200954445428004,-6.0815787822411,-6.0815787822411
0,0,0,0,0,0,0,0
0.00780648668083287,0.000141554030434919,0.000141554030434919,0.952975623700982,-3.24112467978635,-0.00411536090684627,-13.760703536879,-13.760703536879
0.505101475608823,0.00616874843718607,0.00616874843718607,0.710509472096579,-0.103162056533336,-0.227364146218759,-5.84759870037883,-5.84759870037883
0.0827382503519023,0.0476130964151015,0.0476130964151015,0.317635370105814,-1.72420775278304,-2.24898418155196,-2.17183858301856,-2.17183858301856
0.032757688829294,0.00261051344511439,0.00261051344511439,0.806069318020939,-3.21184281893064,-0.087860499133096,-7.6803680710484,-7.6803680710484
0.0290425301707141,0.00239854179211288,0.00239854179211288,0.813694527878824,-3.03417011220177,-0.080125673500198,-7.86083572452064,-7.86083572452064
0.0158384762765455,0.00334566464308112,0.00334566464308112,0.782015776133852,-3.39448156509581,-0.11526731414654,-7.15094833813742,-7.15094833813742
0.0462091364981642,0.00124033246203937,0.00124033246203937,0.86408791364542,-2.61952309889602,-0.0394191851877963,-9.25927123758496,-9.25927123758496
0.00784211688385518,0.00231358470005949,0.00231358470005949,0.816855390775692,-3.90145131066765,-0.0770481731806718,-7.9376379889776,-7.9376379889776
0.00852513243284589,0.00307089397681379,0.00307089397681379,0.790620986305355,-4.24460985089523,-0.104922644509306,-7.33388453914867,-7.33388453914867
0.00715181547718171,0.00564771553265218,0.00564771553265218,0.72198572491164,-3.84015804250943,-0.205969909186264,-6.0347403154086,-6.0347403154086
0.0096995327887267,0.00352160788078476,0.00352160788078476,0.776713884474084,-3.90799872834502,-0.121951272376163,-7.0415219739146,-7.0415219739146
0.0187878319316802,4.07270283185163e-05,4.07270283185163e-05,0.974635815582078,-3.05413779193599,-0.00115858775525321,-16.2942749240101,-16.2942749240101
0.00502659145009301,0.000329212529101167,0.000329212529101167,0.928739991093582,-4.04118465480294,-0.00980689172300716,-12.026829971292,-12.026829971292
0.0117442145328082,0.000202983938073031,0.000202983938073031,0.943822963054335,-3.44389159223282,-0.00595578086130717,-13.0223517892197,-13.0223517892197
0.0101248698734503,0.00289016651249966,0.00289016651249966,0.796519590438862,-3.23514817589375,-0.098183173979651,-7.46332032668121,-7.46332032668121
0.0124827359571076,0,0,1,-5.01677745791119,0,0,0
0.0406736828144311,0.00071395777290461,0.00071395777290461,0.895975878029907,-0.769465854105964,-0.083175228337381,-7.78764363464825,-7.78764363464825
0.0366755397250589,0.0018857349539046,0.0018857349539046,0.833842740441888,-2.01416842221379,-0.227579339842841,-5.84581221080219,-5.84581221080219
0.199955094436647,0.0136254739451558,0.0136254739451558,0.587589074022115,-0.211174692318527,-1.60914589006591,-2.57209784481717,-2.57209784481717
0.127152061563584,0.00268145633769367,0.00268145633769367,0.803594704069836,-1.11784856738864,-0.327332482387719,-5.16758095948559,-5.16758095948559
0.0658200448249589,0.00732403021118194,0.00732403021118194,0.686973928489469,-1.55258730203687,-0.899787472200164,-3.41683715689571,-3.41683715689571
0.0873802611467855,0.00915659853731397,0.00915659853731397,0.653865925191157,-1.0714343477866,-1.11496262229573,-3.08659623127302,-3.08659623127302
0.10233632102964,0.0030644341235575,0.0030644341235575,0.790828411478504,-1.06434271878738,-0.375445399162733,-4.91666008614748,-4.91666008614748
0.0232866345220801,0.00624368630674424,0.00624368630674424,0.708906744777853,-2.12807243881262,-0.769647422372387,-3.66873237718378,-3.66873237718378
0.0111612824739523,0.00305249654454478,0.00305249654454478,0.791212373718866,-3.24858811808743,-0.373945885582195,-4.9239376391318,-4.9239376391318
0.0214694253408769,0.00965344646735473,0.00965344646735473,0.645605969817784,-2.15588256111295,-1.17204577232969,-3.01257300789014,-3.01257300789014
0.0242947568608064,0.00474196012059822,0.00474196012059822,0.743520273911963,-2.29482411484861,-0.585147501848428,-4.12981691856438,-4.12981691856438
0.0454684946813277,0.00768746274456198,0.00768746274456198,0.680037142464582,-1.42919444563243,-0.943031251054927,-3.34292301799035,-3.34292301799035
0.00895552616566146,0.00390357373393325,0.00390357373393325,0.765699950123492,-2.68134790109162,-0.48067361859185,-4.47324793818941,-4.47324793818941
0.035573439602737,0.00961034512943945,0.00961034512943945,0.646311909461283,-1.64906203024639,-1.16711525986268,-3.01877793132744,-3.01877793132744
0.0135489953213864,0.00279871902938145,0.00279871902938145,0.799583192909573,-2.21155299942453,-0.34206376090075,-5.08669978578313,-5.08669978578313
0.00299933318106582,0.00036124492035943,0.00036124492035943,0.925419202962283,-5.6008373097823,-0.0411779251552429,-9.17284828633407,-9.17284828633407
0.00512450235376994,0,0,1,-3.64639908103699,0,0,0
0.0299169784962674,0.00291388619411776,0.00291388619411776,0.795733848076292,-2.91782931520547,-0.106286594173457,-7.30872890347967,-7.30872890347967
0.00432615799020904,0.00131084654828924,0.00131084654828924,0.860420926703519,-4.56858539183165,-0.0449076922938114,-9.00129291062815,-9.00129291062815
0.691738925591007,0.00025009752112209,0.00025009752112209,0.937742502529232,-0.185265401577297,-0.00793466815121109,-12.4495822382138,-12.4495822382138
0.0178132950946885,0.000431319199857889,0.000431319199857889,0.918652373890443,-3.53261438616858,-0.0139475246591032,-11.3244648922942,-11.3244648922942
0.0035687257879887,0.000658381506642731,0.000658381506642731,0.899997742275076,-4.89763996038727,-0.0216892213007002,-10.4453032446198,-10.4453032446198
0.0182167593770876,0.000382061637832627,0.000382061637832627,0.923342658331237,-3.53870534725458,-0.0122970086871637,-11.5755325609349,-11.5755325609349
0.00107767587952661,0.0027999518679463,0.0027999518679463,0.799541521815067,-5.8374007132047,-0.101760436547158,-7.39352099097904,-7.39352099097904
0.0510828932594126,0.00133278869602206,0.00133278869602206,0.859301640177099,-2.4430834780226,-0.0457096720282903,-8.96629075325203,-8.96629075325203
0.00783449654876255,0.00234394335874127,0.00234394335874127,0.815718618287368,-3.74228552061585,-0.0838751000466084,-7.77123269300582,-7.77123269300582
0.00530093835387815,0.000365934217048471,0.000365934217048471,0.924946108358317,-4.54062083705542,-0.0117590977261372,-11.6647215171919,-11.6647215171919
0.0268541127329979,0,0,1,-2.66868333653546,0,0,0
0.00211865764173535,0,0,1,-4.90324571496514,0,0,0
0.00402567637087144,0,0,1,-4.50415050145962,0,0,0
0.00151146800477622,0.000220622607043234,0.000220622607043234,0.94146900952786,-5.16670033613632,-0.00697350932849808,-12.707347844702,-12.707347844702
0.0716441167641988,0,0,1,-3.22610082582197,0,0,0
0.0213246566362426,0,0,1,-1.22339769033854,0,0,0
0.00884831617810613,6.3879350368967e-06,6.3879350368967e-06,0.989915805917905,-3.23828860750791,-0.00101342885076697,-16.5619270073666,-16.5619270073666
