logAlpha,logBeta1,logBeta2,logRho,logGammaMUK,logGammaMEU,logGammaMW,logMu,muBar,logGammaH,logGammaK
1.32372518371154,1.90236515259267,1.91566524889362,-0.593695242628825,0.137113840710343,-0.862886159289657,-0.862886159289657,-0.999346040539487,-0.999346040539487,0.000392375676307832,0.000392375676307832
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,0,0.23167512801293,-0.76832487198707,-0.76832487198707,5.26028792023923e-08,5.26028792023923e-08,3.15617275214354e-08,3.15617275214354e-08
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0.115437426947887,-0.884562573052113,-0.884562573052113,4.979119651647e-05,4.979119651647e-05,2.9874717909882e-05,2.9874717909882e-05
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0.119173126257836,-0.880826873742164,-0.880826873742164,2.86490364194548e-09,2.86490364194548e-09,1.71894218516729e-09,1.71894218516729e-09
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0.234128738849322,-0.765871261150678,-0.765871261150678,2.54468210927143e-08,2.54468210927143e-08,1.52680926556286e-08,1.52680926556286e-08
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,0,0.124993708366926,-0.875006291633074,-0.875006291633074,2.56948143777842e-09,2.56948143777842e-09,1.54168886266705e-09,1.54168886266705e-09
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,0,0.127062839515324,-0.872937160484676,-0.872937160484676,1.28066114905537e-06,1.28066114905537e-06,7.68396689433219e-07,7.68396689433219e-07
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0.117027848872933,-0.882972151127067,-0.882972151127067,1.83885957193726e-10,1.83885957193726e-10,1.10331574316236e-10,1.10331574316236e-10
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0.138174292118613,-0.861825707881387,-0.861825707881387,2.66119708923763e-09,2.66119708923763e-09,1.59671825354258e-09,1.59671825354258e-09
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0.12315900214838,-0.87684099785162,-0.87684099785162,8.22291120326572e-10,8.22291120326572e-10,4.93374672195943e-10,4.93374672195943e-10
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,0,0.124336187864602,-0.875663812135398,-0.875663812135398,1.31161025220482e-09,1.31161025220482e-09,7.86966151322889e-10,7.86966151322889e-10
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0,0,0,0,0,0,0
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,0,0.102113124414323,-0.897886875585677,-0.897886875585677,5.84331948520616e-13,5.84331948520616e-13,3.50599169112369e-13,3.50599169112369e-13
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,0,0.0909169919693673,-0.909083008030633,-0.909083008030633,1.02474248594073e-10,1.02474248594073e-10,6.14845491564441e-11,6.14845491564441e-11
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,1.02572257597175e-06,0.114350591341691,-0.885649408658309,-0.885649408658309,7.52422246377591e-10,7.52422246377591e-10,4.51453347826554e-10,4.51453347826554e-10
-0.0459976117102021,-0.0629284724881266,-0.0459788572707442,0,0,0,0,0,0,0,0
-0.0632773093820677,-0.0864771391405695,-0.0776829519856508,0,0.0237952962103789,-0.976204703789621,-0.976204703789621,5.25629769166508e-06,5.25629769166508e-06,3.15377861499905e-06,3.15377861499905e-06
1.8842696029743,1.8692771892053,1.87672861423494,0,0.157082760826083,-0.842917239173917,-0.842917239173917,-0.847161935522971,-0.847161935522971,0.0917028386862172,0.0917028386862172
