m,mUK,mEU,mW,gammaM,gammaMUK,gammaMEU,gammaMW
0.158428632013967,0.862000203820814,0.0689998980895929,0.0689998980895929,0.0564727490759856,0.744572523893656,0.0047000513285853,0.0047000513285853
0.00152562189423447,0.634324419399191,0.182837790300405,0.182837790300405,0.00136202741570295,0.590323108913947,0.0134183412349519,0.0134183412349519
0.0254467768697122,0.902541681474558,0.048729159262721,0.048729159262721,0.0199604165919929,0.782450945644576,0.00333144988508717,0.00333144988508717
0.000281946631841535,0.896007356643062,0.0519963216784688,0.0519963216784688,0.000402612992136589,0.775855981506394,0.00355055850551654,0.00355055850551654
0.000922261143598999,0.627930014254104,0.186034992872948,0.186034992872948,0.00101997870640207,0.586558788656529,0.0137040665887935,0.0137040665887935
0.000438023859843797,0.885441032981496,0.0572794835092518,0.0572794835092518,0.000386485961565797,0.765636010397464,0.00390585678282906,0.00390585678282906
0.00460986184268485,0.881574396060177,0.0592128019699114,0.0592128019699114,0.00464066801881747,0.76201928615505,0.00403624129642421,0.00403624129642421
0.000198845673736524,0.899783766608222,0.0501081166958889,0.0501081166958889,0.000134103657689645,0.779639819665961,0.00342387935295651,0.00342387935295651
0.000377267751068321,0.859860907147775,0.0700695464261124,0.0700695464261124,0.000394332923004674,0.742743550765253,0.00477303375061997,0.00477303375061997
0.000414100739317656,0.888821532072018,0.0555892339639908,0.0555892339639908,0.000244817185671592,0.768850135513425,0.00379203495254615,0.00379203495254615
0.000349142492137392,0.886657757897985,0.0566711210510075,0.0566711210510075,0.000295247997101628,0.766787111883498,0.0038648719031754,0.0038648719031754
0,0,0,0,0,0,0,0
4.03909363098789e-05,0.924210946925146,0.0378945265374271,0.0378945265374271,1.33467400962337e-05,0.80620084134901,0.00260677254441372,0.00260677254441372
0.000221541306371414,0.940365805815988,0.0298170970920062,0.0298170970920062,0.000104907003159305,0.826431915490023,0.0020664748571895,0.0020664748571895
0.000566482532902013,0.90440571208573,0.0477971439571351,0.0477971439571351,0.000235331420467696,0.784374875056813,0.00326901443504859,0.00326901443504859
0,0,0,0,0,0,0,0
0.0143545713730707,0.997944435119694,0.00102778244015274,0.00102778244015274,0.00780648668083287,0.952975623700982,0.000141554030434919,0.000141554030434919
0.432540951200087,0.892541673778338,0.0537291631108311,0.0537291631108311,0.505101475608823,0.710509472096579,0.00616874843718607,0.00616874843718607
0.068308543273585,0.3248174032238,0.3375912983881,0.3375912983881,0.0827382503519023,0.317635370105814,0.0476130964151015,0.0476130964151015
0.0162363650534814,0.957020707754277,0.0214896461228613,0.0214896461228613,0.032757688829294,0.806069318020939,0.00261051344511439,0.00261051344511439
0.0193868164634266,0.960729068163216,0.0196354659183922,0.0196354659183922,0.0290425301707141,0.813694527878824,0.00239854179211288,0.00239854179211288
0.0128213309500486,0.943995710250365,0.0280021448748176,0.0280021448748176,0.0158384762765455,0.782015776133852,0.00334566464308112,0.00334566464308112
0.0315845125955513,0.98048337159818,0.00975831420090991,0.00975831420090991,0.0462091364981642,0.86408791364542,0.00124033246203937,0.00124033246203937
0.00819449325870794,0.962208528138061,0.0188957359309695,0.0188957359309695,0.00784211688385518,0.816855390775692,0.00231358470005949,0.00231358470005949
0.00580187448749499,0.94889102131134,0.0255544893443303,0.0255544893443303,0.00852513243284589,0.790620986305355,0.00307089397681379,0.00307089397681379
0.00882326609516114,0.902140546450984,0.0489297267745079,0.0489297267745079,0.00715181547718171,0.72198572491164,0.00564771553265218,0.00564771553265218
0.00821027499593405,0.940846162095709,0.0295769189521456,0.0295769189521456,0.0096995327887267,0.776713884474084,0.00352160788078476,0.00352160788078476
0.0209793029469733,0.999420873880676,0.000289563059661828,0.000289563059661828,0.0187878319316802,0.974635815582078,4.07270283185163e-05,4.07270283185163e-05
0.0101684958745295,0.995108556403655,0.00244572179817227,0.00244572179817227,0.00502659145009301,0.928739991093582,0.000329212529101167,0.000329212529101167
0.0165118374896683,0.997026539087091,0.00148673045645439,0.00148673045645439,0.0117442145328082,0.943822963054335,0.000202983938073031,0.000202983938073031
0.0173367474618999,0.952093926288477,0.0239530368557615,0.0239530368557615,0.0101248698734503,0.796519590438862,0.00289016651249966,0.00289016651249966
0.00569192458199929,1,0,0,0.0124827359571076,1,0,0
0.169987903687471,0.959265286428964,0.0203673567855179,0.0203673567855179,0.0406736828144311,0.895975878029907,0.00071395777290461,0.00071395777290461
0.0639864051372442,0.892445644305951,0.0537771778470246,0.0537771778470246,0.0366755397250589,0.833842740441888,0.0018857349539046,0.0018857349539046
0.310153676022689,0.447278898453945,0.276360550773028,0.276360550773028,0.199955094436647,0.587589074022115,0.0136254739451558,0.0136254739451558
0.131795006508667,0.849025344282194,0.075487327858903,0.075487327858903,0.127152061563584,0.803594704069836,0.00268145633769367,0.00268145633769367
0.0853001387821505,0.637695912076043,0.181152043961978,0.181152043961978,0.0658200448249589,0.686973928489469,0.00732403021118194,0.00732403021118194
0.130863851558026,0.572649575088443,0.213675212455779,0.213675212455779,0.0873802611467855,0.653865925191157,0.00915659853731397,0.00915659853731397
0.149582379247408,0.828844514299207,0.0855777428503963,0.0855777428503963,0.10233632102964,0.790828411478504,0.0030644341235575,0.0030644341235575
0.0482714962504777,0.680570602614155,0.159714698692922,0.159714698692922,0.0232866345220801,0.708906744777853,0.00624368630674424,0.00624368630674424
0.0157085128577601,0.82946617912147,0.0852669104392652,0.0852669104392652,0.0111612824739523,0.791212373718866,0.00305249654454478,0.00305249654454478
0.0475445700739707,0.556536297283272,0.221731851358364,0.221731851358364,0.0214694253408769,0.645605969817784,0.00965344646735473,0.00965344646735473
0.0412050586523144,0.746340199726578,0.126829900136711,0.126829900136711,0.0242947568608064,0.743520273911963,0.00474196012059822,0.00474196012059822
0.106535655663007,0.624055716380477,0.187972141809761,0.187972141809761,0.0454684946813277,0.680037142464582,0.00768746274456198,0.00768746274456198
0.0396119584826194,0.786362962103233,0.106818518948383,0.106818518948383,0.00895552616566146,0.765699950123492,0.00390357373393325,0.00390357373393325
0.0993756495478725,0.557909994421319,0.22104500278934,0.22104500278934,0.035573439602737,0.646311909461283,0.00961034512943945,0.00961034512943945
0.0482513379021466,0.842794704368574,0.078602647815713,0.078602647815713,0.0135489953213864,0.799583192909573,0.00279871902938145,0.00279871902938145
0.00317398716544928,0.97962154294032,0.0101892285298399,0.0101892285298399,0.00299933318106582,0.925419202962283,0.00036124492035943,0.00036124492035943
0.00957153943287763,1,0,0,0.00512450235376994,1,0,0
0.0259198672015294,0.948244122125977,0.0258779389370116,0.0258779389370116,0.0299169784962674,0.795733848076292,0.00291388619411776,0.00291388619411776
0.00397353928158075,0.977796365221709,0.0111018173891457,0.0111018173891457,0.00432615799020904,0.860420926703519,0.00131084654828924,0.00131084654828924
0.334899638468177,0.996040525397075,0.00197973730146261,0.00197973730146261,0.691738925591007,0.937742502529232,0.00025009752112209,0.00025009752112209
0.0117770061298602,0.993050497923126,0.00347475103843721,0.00347475103843721,0.0178132950946885,0.918652373890443,0.000431319199857889,0.000431319199857889
0.00285180426402302,0.989213980150321,0.0053930099248394,0.0053930099248394,0.0035687257879887,0.899997742275076,0.000658381506642731,0.000658381506642731
0.012597326946609,0.99387035902894,0.00306482048553003,0.00306482048553003,0.0182167593770876,0.923342658331237,0.000382061637832627,0.000382061637832627
