date,year,quarter,Agriculture,Forestry,Fishing,Mining,Manufacturing: food,Manufacturing: textiles,Manufacturing: wood,Manufacturing: paper,Printing,Manufacturing: coke,Manufacturing: chemicals,Manufacturing: pharmaceuticals,Manufacturing: rubber,Manufacturing: minerals,Manufacturing: metals,Manufacturing: fabricated metals,Manufacturing: computers,Manufacturing: electrical,Manufacturing: machinery,Manufacturing: motor vehicles,Manufacturing: other transport,Manufacturing: other,Machinery repair,Electricity,Water,Sewerage,Construction,Wholesale/retail: motor vehicles,Wholesale: other,Retail: other,Land transport,Water transport,Air transport,Warehousing,Postal,Accommodation/food services,Publishing,Film,Telecoms,Programming,Financial,Insurance,Other financial/insurance services,Real estate,Imputed rents,Legal/accounting,Architecture,R&D,Advertising,Other professional,Rental services,Employment services,Travel,Other office services,Public administration,Education,Health,Social work,Arts,Sports,Membership organizations,Household goods repair,Other personal services,Household employers
2011-03-31,2011,1,1125737.657022396,126230.70333333337,92052.65401921512,1186589.8219681547,2147636.228654908,645629.042420118,305230.8899411689,238672.46251820034,598944.4609668307,476335.11552346975,1030083.8343383363,1998833.1195760597,394324.8077576362,520825.53654852975,471181.06772886054,831362.9395969263,2831915.03725424,728263.383842851,1653868.6676032254,1070588.371860852,1778697.7165589728,1272736.3831423568,1116816.709749391,1837080.798894946,569462.3080467267,789988.123803105,10846098.572015507,1094166.7556782053,4769434.3809816055,11870457.234926054,2163150.290158806,330077.5692070741,464467.86552907946,1279036.4207975976,1067042.1242577543,6067741.049152874,3804598.4286203436,3638160.604908271,2742198.6441054414,10375132.522149315,9528267.115662824,2780907.772620182,6241904.422277182,2569208.872608706,0,16761623.223484602,8628690.22174397,2869464.235876936,2936149.242345581,4489050.678602766,723676.1222343445,3057665.9661810766,838136.032175174,3858774.2080964176,21604406.177904855,49247199.05927862,27614164.25184786,15733360.38410221,4105876.9043380525,2217995.4024423244,3915048.4743157933,341506.5340768348,795201.2088380528,233395.02653838668
2011-06-30,2011,2,897619.8015970907,151960.2033333333,146301.9053446001,955941.2553139494,2330143.8251523967,485750.84097114776,247231.3232670424,284573.45148143347,525151.5722729153,442088.37105266144,1151126.6270592574,1991629.052902781,498067.4188687472,548891.8808953179,549424.8121426604,1193731.889600868,2904246.8375073676,579043.7198899938,1634433.2517618053,929510.6693228451,1422410.940356665,1073489.6890372084,990968.331807412,1733074.7947617217,548010.6745321106,722622.4292863932,10483739.045826428,960879.6336112837,4262089.403074639,12261035.422159288,2055935.5357394782,357129.3675758929,850453.9289344342,1498420.209838693,1127871.2496388,5875796.773587104,3800603.8674698975,3303854.849171921,2096550.377331581,11686303.226230169,8872249.47610933,2819088.6896314435,6187834.80503755,2827329.122701763,0,16277915.74902879,7939728.305417234,2297956.5364184952,2842337.0428496297,3937091.222267594,645419.427743276,2594346.3693235824,850365.8199211801,4016744.5513765197,20761897.3472709,47665924.147784755,27012462.257597458,13776869.914187796,4063963.0986451684,2383554.6692885566,3780406.065765054,352823.76193166943,967811.917598791,225372.05782400756
2011-09-30,2011,3,809920.3626922229,183750.09222222224,88630.68312237787,1135583.1386944156,2208872.6475502946,572063.4574999767,267470.89560133184,245788.56814886298,511996.4333840264,410059.2878825124,1029096.2103709741,1797424.019756453,417720.16895267053,550168.5974294025,659972.690069593,1053941.6564563198,3043459.1477465224,538351.3052456765,1543283.4961448754,904732.369394816,1586318.4273030732,987148.0113229672,1015629.048129993,1769885.6511108186,618294.6524007203,773671.6055172475,10547443.825400293,844690.7890669794,4228935.092137815,11929065.511042636,1972989.6414074413,318044.0897981151,577335.2876897579,1597662.9764911183,962250.8828809431,5861970.515807756,4079767.6785387504,3144219.315853614,2427662.8494798406,11489056.2697813,8936982.142442849,2570839.8451299476,5696093.555181237,2769290.0003512087,0,16985522.43992688,8973583.178001896,2504065.3639815687,2588933.548523356,4733501.973865954,707060.3444565665,3027953.1966467546,918605.1487955558,3646911.962628437,20468903.766555298,54143350.71614646,26148028.781232152,13765602.569688164,4028096.7036406854,2483527.8299733545,4101314.5639369143,300405.45077571436,1128697.8868063956,114129.46541422079
2011-12-31,2011,4,1068215.2238033337,151043.9255555556,119203.12756682231,1298024.4442499706,2456702.6072955127,515054.33549281873,223052.54008977266,298640.54585153365,581240.6556062486,344625.97666001215,1036798.4887095119,1821710.8361071777,468870.83553541393,566914.2420064291,403745.3567362594,915902.1119127355,2716838.6370945107,836430.1335308936,1689313.1844586777,1129243.1693228455,1725640.5127329163,954175.722461798,1145110.1151834698,1739802.9803134704,705809.741472206,757682.546057773,10285953.839704664,811096.8725360741,4450130.30846792,11521430.357190812,2327540.088869417,238209.14535367064,593556.3099747689,1442034.9653195655,693492.8162311225,6454789.728767578,3419166.5840301556,3189868.521477664,2181307.7106300527,11687482.192642823,9316878.920677435,2849400.361864627,5759087.227389598,2960666.2005687202,0,16055598.542251334,8839097.74484906,2365404.858262066,2656379.2312224535,4996479.685751827,665617.9555676779,2504328.2971817227,894386.0947667267,3612256.907462824,20700093.94313281,44282292.807365544,24224802.840981234,13131860.72044526,3745479.5084997397,2535586.7796954857,4250122.832020273,580138.5618817394,845160.267887023,174547.27652651872
2012-03-31,2012,1,1174078.657022396,184674.70333333337,137640.65401921512,1482084.0719681547,2638387.978654908,614141.042420118,348322.8899411689,351471.21251820034,633657.2619311862,298240.36552346975,1133427.834151416,2166772.71936854,472631.3077576362,667490.0365485298,535607.5677288605,1010059.4902408472,2613079.78725424,725578.1827777876,1755002.1676032254,1002937.871860852,2382158.766970674,1165825.1336230086,878783.2097493911,1962791.298894946,651259.8080467267,721100.2240304609,11043664.52221064,634749.7556782053,4701942.3809816055,12907468.584597418,2800493.290158806,270350.0692070741,508276.86552907946,1761917.9207975976,885528.8742577543,6890487.049152874,4556163.428620344,3946646.9548299746,2533273.6441054414,13186630.621621361,9242152.31518675,3123176.0231427955,6292885.172277182,3725824.722836062,0,17590048.472660627,9559876.392020611,2245913.3360346737,3169137.742345581,5073442.428602766,691257.3722343445,2602876.366256989,891220.532175174,4052205.0571030704,23760764.106529962,50258001.32155384,28084821.79936945,14207451.08570896,4294408.304709604,2939975.401701081,4731221.125026853,684480.5340768348,958863.7088380528,125252.02653838668
2012-06-30,2012,2,1356803.3015970907,226528.2033333333,58900.905344600076,1410477.7553139494,2666616.0751523967,573742.3409711478,240556.8232670424,500405.45148143347,862692.0722729153,385981.12105266144,1315573.927642143,2238484.2025152077,551622.4188687472,434498.8808953179,546685.3618691466,1337166.4393731307,2260112.2870770697,628424.2198899938,1748275.301047694,1102888.169322845,2320853.990172797,1226835.6890372084,892790.331807412,2029720.7955818817,681649.8747941803,798495.230121049,10560720.076271527,891218.6336112837,4466071.253439324,13110527.40185747,2830879.285739478,271873.8675758929,554802.4289344342,1775112.1092756437,911161.7504169983,6903789.523587104,3910523.3674698975,3010755.349171921,2383215.877331581,13319554.825694585,9810483.826103989,2817817.6896314435,6628440.105076841,3364136.372701763,0,18381360.9513305,9375321.41440695,2188816.0356822587,3035836.0929404194,4696103.601658311,617509.177743276,2440371.2692449996,850336.0598351206,3846835.8013765197,23600092.367428713,48849097.22406654,28088579.258196365,15304926.873905547,4432715.498984295,2539933.3184584784,3905652.315765054,538181.7619316694,1239624.417598791,113371.05782400756
2012-09-30,2012,3,1063323.862692223,178056.09222222224,114004.68312237787,1409454.3886944156,2542286.696769426,895248.9574999767,136971.39560133184,471150.818148863,818606.9333840264,343685.0378825124,1306229.311014132,2208285.3195268083,559183.1689526705,378986.0974294025,540374.440069593,983380.8560183926,2234908.5988916946,660327.3052456765,1776573.7453361596,1138534.869394816,1988982.4981249722,1159848.0113229672,907692.048129993,1862411.2500316408,588405.6524007203,860487.105049947,11515910.524912775,1365588.2890669794,4853034.092137815,13302609.459555667,3407119.8914074413,356389.0897981151,444155.7876897579,1556955.4764911183,918385.8837049177,6623073.015807756,4252638.428538751,3034564.315853614,2338700.6992322668,12591845.920828054,8800615.342924263,2930548.0951299476,6942780.403564187,3010597.2503512087,0,19418485.620074052,10012313.428632274,2459994.612669313,3032989.59793513,4763321.223865954,724114.5944565665,2385601.297221248,796512.6487955558,4189524.463250233,23179215.013671387,48746879.268733814,28603484.03282765,16392969.818238102,4208319.663017974,2826316.048437252,4348472.474724497,535017.4507757144,766451.3868063956,83789.46541422079
2012-12-31,2012,4,985876.7238033337,141389.4255555556,56548.62756682231,1275216.9442499706,2294162.7075343127,811519.3354928187,254005.54008977266,379279.04585153365,843086.6556062486,401466.97666001215,1071766.8896570827,1954590.5359324645,583871.3355354139,445249.7420064291,370123.3567362594,957533.1119127355,2751350.637872709,682130.1339276221,1487638.1844586777,1163017.1693228455,1860498.7117723755,1165973.222461798,896483.1151834698,1883886.1800147796,631694.241472206,796560.046057773,11782806.489996107,1200461.8725360741,5290281.80846792,14147845.656758988,3576107.839449251,452970.14535367064,398670.3099747689,1779190.4653195655,1162968.3162311225,7218860.488723937,3815692.0840301556,3674010.021477664,2367718.2106300527,13063673.943232194,8889357.170677435,2907601.361864627,6994333.927523876,2984815.40056245,0,19120300.891452536,9631244.294077728,2205145.358150486,3403699.7312224535,4502863.53501788,790837.4555676779,2817331.0471817227,746799.7550946381,4706043.357352007,23006213.862118177,52827511.578714974,30124365.37150358,17320902.119753465,4405952.760264991,2795500.6803126084,4616339.332851877,572335.0618817394,944014.267887023,177026.27652651872
2013-03-31,2013,1,1006062.1570223961,49180.70333333337,59474.654019215115,1730205.8219681547,2341571.137741194,816307.292420118,241344.6399411689,311961.21251820034,737557.661757236,550683.1155234698,933677.3341514161,2500519.21936854,684901.8077576362,401067.03654852975,581894.8177288605,1176550.4395969263,2874461.53725424,658161.8339237226,1609053.5686881253,1182563.871860852,2104370.766505281,1071944.1336230086,1032906.7097493911,1772955.1985493344,647430.8080467267,647418.123803105,11473723.822170002,1193889.2556782053,5323160.3809816055,14384869.23340399,3147477.540158806,380390.5692070741,365248.11552907946,1303876.9207975976,1113624.1741158476,7484344.049152874,3272886.9286203436,3909825.4548299746,2392195.1441054414,13180723.221787682,9192612.56518675,2680476.5231427955,6425756.422277182,2935962.422060534,0,20095173.223251905,10193743.392020611,2408686.235876936,3533206.742345581,4306319.928602766,762619.1222343445,2741972.9661810766,896651.032175174,4948085.05710307,22644839.804713022,49267025.54052557,29928636.01845705,17072237.03518425,4219586.205150774,2314470.8527656677,4854496.375026853,486446.0340768348,1206753.2088380528,161033.02653838668
2013-06-30,2013,2,908624.8015970907,91493.20333333331,85554.90534460008,1835666.2553139494,2266911.8251523967,821585.0909711478,291531.3232670424,230284.45148143347,614097.5722729153,470329.87105266144,855825.9276421431,2465033.4525152077,657782.4188687472,419034.3808953179,364531.8121426604,995796.8896008681,2666585.8375073676,553696.8710168554,1716298.051047694,1140683.669322845,1804909.2397074036,1034131.6890372084,1018579.331807412,1916978.5953865692,702209.1745321106,678365.4292863932,12878318.674976818,1452531.1336112837,5318737.403074639,14851474.871994112,2882754.035739478,376528.3675758929,322714.9289344342,1714976.209838693,1248295.2496388,6956371.123406287,2896309.3674698975,3838299.349171921,2870598.7777908705,13138144.976230169,8906789.076103989,2739768.338946324,6312768.705876402,3058795.622701763,0,21111026.900057156,9771820.806033308,2518288.8364110566,3454042.492278188,4883724.002129044,832088.177743276,3099114.368472905,989698.5699211801,5491123.401594339,23731517.348422937,51602189.7846124,30928060.869209778,17898223.467385657,4367872.799067455,2386517.0690268683,4894975.815765054,557698.2619316694,993045.017565317,142964.05782400756
