sic64,total_assets_2016,total_assets_2017,total_assets_2018,total_assets_2019,total_assets_2020,total_assets_2021,total_liabilities_2016,total_liabilities_2017,total_liabilities_2018,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,net_assets_2016,net_assets_2017,net_assets_2018,net_assets_2019,net_assets_2020,net_assets_2021
1,39452,42218,42159,44776,40724,NA,-22630,-21608,-21591,-24207,-20165,NA,62082,63826,63750,68983,60889,NA
1,62577.502,62983.861,64679.963,74094.33,86175,NA,-32981.570999999996,-31767.652000000002,-29938.292999999998,-36104.188,-41745,NA,95559.073,94751.513,94618.256,110198.51800000001,127920,NA
1,28708.388,25962.548,28911.07,29245.599,29419.942,NA,-19660.054,-15866.521999999999,-18681.802,-18004.364999999998,-17531.397,NA,48368.441999999995,41829.07,47592.872,47249.96399999999,46951.339,NA
1,39682.167,43326.836,45315.27,45787.719,46915.636,NA,-27986.934999999998,-30436.654,-30656.432,-30769.077,-30448.929,NA,67669.102,73763.49,75971.70199999999,76556.796,77364.565,NA
1,124758,97783,99404,85251,64465,NA,-63633,-59063,-57387,-47368,-34521,NA,188391,156846,156791,132619,98986,NA
1,64243,61928,61458,59574,61005.856,NA,-23766,-24508,-21634,-19328,-19677.616,NA,88009,86436,83092,78902,80683.47200000001,NA
1,274788,289671,356275,453256,403110,NA,-68570,-83400,-164718,-178547,-221966,NA,343358,373071,520993,631803,625076,NA
1,64777.757,68971.075,76085.041,89438.023,81979.161,NA,-15114.163,-14589.571,-13405.993,-17269.412,-12051.076000000001,NA,79891.92,83560.646,89491.034,106707.435,94030.237,NA
1,44027.7608227791,NA,49655.372879418,51950.3387356607,NA,NA,-9363.022283850114,NA,-9768.372683698877,-9529.485498703069,NA,NA,53390.78310662921,NA,59423.74556311688,61479.82423436377,NA,NA
1,48014,58941,69490,77185,71625,NA,-14400,-20801,-24120,-27526,-14105,NA,62414,79742,93610,104711,85730,NA
1,50661.5090976643,59629.2444996931,63230.3547477203,69060.5134248484,82772.9401147395,NA,-27805.98857930408,-31318.87078550847,-31285.72408008987,-35913.4353428712,-43098.310909911,NA,78467.49767696837,90948.11528520157,94516.07882781017,104973.94876771959,125871.2510246505,NA
1,37073,44580,43866,42034,43488,NA,-27697,-34523,-33181,-30811,-32046,NA,64770,79103,77047,72845,75534,NA
1,51044.001,50538.312,51795.224,48318.709,34598.064,NA,-32437.432,-29015.331,-28867.641000000003,-38912.988999999994,-22378.869,NA,83481.43299999999,79553.643,80662.865,87231.698,56976.933,NA
1,15559,17700,26106,27094,24096,NA,-8955,-9729,-17049,-17044,-13865,NA,24514,27429,43155,44138,37961,NA
1,15056.851,15127.18,16425.112,19028.917,21884.499,NA,-5932.851,-6091.33,-7182.104,-9889.032,-15214.106,NA,20989.702,21218.510000000002,23607.216,28917.949,37098.604999999996,NA
1,80261.661,90121.097,108013.477,163760.203,185279.979,NA,-70044.469,-70781.46,-78256.843,-120088.478,-125483.86000000002,NA,150306.13,160902.557,186270.32,283848.681,310763.83900000004,NA
1,9799.265,17333.144,31681.599,36395.264,34603.769,NA,-9490.247,-16925.254,-31157.264000000003,-32732.258,-33578.888,NA,19289.512,34258.398,62838.863,69127.522,68182.657,NA
