sic64,total_assets_2016,total_assets_2017,total_assets_2018,total_assets_2019,total_assets_2020,total_assets_2021,total_liabilities_2016,total_liabilities_2017,total_liabilities_2018,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,net_assets_2016,net_assets_2017,net_assets_2018,net_assets_2019,net_assets_2020,net_assets_2021
1,16221.289,17079.217,17626.506,18144.417,21599.085,NA,-7925.588,-8580.282,-9729.865,-10271.565999999999,-12808.099,NA,24146.877,25659.499,27356.371,28415.983,34407.184,NA
1,13028,14125,14378,15599,14219,NA,-20477,-26909,-27112,-29556,-24985,NA,33505,41034,41490,45155,39204,NA
1,28213.005,31140.912,32196.886,31476.23,33867.665,NA,-11630.484,-12724.098999999998,-12374.765,-11123.306999999999,-13479.698,NA,39843.489,43865.011,44571.651,42599.537,47347.363,NA
1,9222.405,13586.266,16355.37,802.736,25420.681,27882.813,-4197.406,-7310.155,-7897.347,-265.546,-13177.296,-14261.161,13419.811000000002,20896.421,24252.717,1068.282,38597.977,42143.974
1,10575.519,11416.575,11941.731,14533.74,19896.422,NA,-3763.89,-3511.172,-2947.681,-7230.9929999999995,-10686.118,NA,14339.409,14927.747000000001,14889.412,21764.733,30582.54,NA
1,14676.255,12890.663,15677.067,17345.076,14927.571,NA,-12168.046999999999,-10097.338,-12551.119,-13348.232,-10476.573,NA,26844.301999999996,22988.001,28228.186,30693.308,25404.144,NA
1,22243.761,23062.72,24864.28,27636.867,27508.983,NA,-13489.352,-10425.885,-10666.006,-14528.806,-16193.185000000001,NA,35733.113,33488.605,35530.286,42165.672999999995,43702.168000000005,NA
5,11678,10559,11017,11495,8250,12878,-1570,-1555,-3360,-4506,-2559,-1893,13248,12114,14377,16001,10809,14771
1,8027.976,8704.452,8995.446,9985.059,9131.087,NA,-4326.731,-4655.45,-5511.043,-8022.505,-6788.121,NA,12354.706999999999,13359.901999999998,14506.489,18007.564,15919.207999999999,NA
1,17850.966,20981.412,27434.217,29331.362,31932.597,NA,-2037.249,-3029.24,-6088.74,-7069.235000000001,-7736.675,NA,19888.215,24010.652000000002,33522.957,36400.597,39669.272000000004,NA
1,11668.0929917067,13855.7634412722,13566.2104339849,13769.6056559686,15614.82076481,NA,-9155.82369987924,-10961.084591479179,-10395.828799148789,-10293.06824967257,-11410.1359641774,NA,20823.91669158594,24816.84803275138,23962.039233133688,24062.673905641168,27024.9567289874,NA
1,4489.094,8976.002,9894.269,8930.15,7915.978,NA,-4002.777,-8144.898,-8422.392,-5277.631,-3263.95,NA,8491.871,17120.9,18316.661,14207.780999999999,11179.928,NA
1,11304.1465778032,13883.1401171505,14210.8096512904,15064.6416241201,15732.8153738401,NA,-4817.463412597767,-6478.40631910901,-6256.07068749453,-6481.60573529305,-6788.00313290995,NA,16121.609990400968,20361.54643625951,20466.88033878493,21546.24735941315,22520.81850675005,NA
1,8176,9229,9743,10438,8021,NA,-4926,-5979,-6493,-7188,-4771,NA,13102,15208,16236,17626,12792,NA
44,97156,93044,107508,128713,125156,NA,-61706,-55584,-64606,-67953,-64908,NA,158862,148628,172114,196666,190064,NA
1,58065.2624907034,59240.2655907327,62951.4355433126,NA,NA,NA,-16406.268809451838,-15693.03866851224,-16932.10092078496,NA,NA,NA,74471.53130015524,74933.30425924493,79883.53646409756,NA,NA,NA
1,9807,10912,11755,13554,14081,NA,-3523,-3339,-2757,-2892,-2971,NA,13330,14251,14512,16446,17052,NA
1,100084.877000739,100665.702790497,104978.81881411,91514.8865260041,92554.7377545317,NA,-199883.36056794232,-211298.137348335,-225903.195986501,-215533.822760444,-232658.989410179,NA,299968.2375686813,311963.840138832,330882.014800611,307048.7092864481,325213.7271647107,NA
1,18154,20082,21397,17211,18757,NA,-3137,-4799,-4607,-3841,-4258,NA,21291,24881,26004,21052,23015,NA
1,28195,28303,23948,23456,20808,NA,-16238,-16296,-15889,-15134,-16114,NA,44433,44599,39837,38590,36922,NA
1,33130.005,36334.326,54661.773,59672.035,57565.171,NA,-19715.979,-21951.425,-32153.202,-36304.572,-36147.278999999995,NA,52845.984,58285.751000000004,86814.975,95976.607,93712.45,NA
1,8696.144,10406.541,9291.134,9187.512,10191.999,NA,-7011.146,-8691.748,-8203.337,-7654.379999999999,-8168.947,NA,15707.29,19098.288999999997,17494.470999999998,16841.892,18360.946,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12005.06,12843.979,13746.468,12111.769,9313.791,NA,-7014.293,-7506.128000000001,-8104.465,-6768.918,-4233.396,NA,19019.353,20350.107,21850.933,18880.686999999998,13547.186999999998,NA
1,26788.47,31417.042,35131.754,35814.747,37705.329,NA,-6951.16,-9088.556,-10507.682,-9560.608,-9403.525000000001,NA,33739.630000000005,40505.598,45639.436,45375.355,47108.854,NA
1,2618.047,2809.932,3374.175,4093.178,4473.613,NA,-1816.022,-1853.584,-1728.194,-1956.384,-2703.852,NA,4434.0689999999995,4663.516,5102.369000000001,6049.562,7177.465,NA
1,31140.712,33911.461,34391.757,33268.725,29044.193,NA,-4702.501,-5875.046,-5765.985000000001,-3906.157,-3472.6580000000004,NA,35843.213,39786.507000000005,40157.742,37174.882,32516.851,NA
1,NA,NA,NA,0.001,5859.085,NA,NA,NA,NA,0,-5794.988,NA,NA,NA,NA,0.001,11654.073,NA
1,4538.874,4300.541,5760.106,5523.659,8659.036,NA,-1992.42,-1482.141,-2793.092,-1808.6909999999998,-3376.553,NA,6531.294,5782.682000000001,8553.198,7332.3499999999995,12035.589,NA
1,11484.803,15400.093,18285.38,18772.115,17797.241,NA,-7683.246,-9825.751,-11429.019,-11537.397,-13054.498,NA,19168.049,25225.844,29714.399,30309.512000000002,30851.739,NA
1,12680.2268254329,13839.0258115435,16171.1910195266,17736.0792506194,19919.240658341,NA,-2920.1424927231897,-3736.816275940092,-5201.649640943427,-6435.723326997304,-7246.111757022524,NA,15600.369318156088,17575.842087483594,21372.840660470025,24171.802577616705,27165.352415363526,NA
1,5166.791,5190.77,5543.088,5763.209,6053.73,6381.139,-1641.49,-1508.4209999999998,-1663.979,-1756.6200000000001,-1897.305,-2040.307,6808.281,6699.191000000001,7207.067,7519.829,7951.035,8421.446
5,8220.074,9974.516,10255.596,10567.102,7549.146,7353.547,-7218.117,-8789.052,-9262.862,-9448.673,-6066.42,-5707.704,15438.191,18763.568,19518.458,20015.775,13615.565999999999,13061.251
1,9750.038,8581.554,8537.543,7726.086,9588.25,NA,-9044.151,-5882.452,-2338.242,-1544.4869999999999,-1451.59,NA,18794.189,14464.006000000001,10875.785,9270.573,11039.84,NA
1,4839.272,5504.266,5365.337,5985.62,6897.297,NA,-4106.291,-4701.413,-4354.06,-4922.431,-5648.592,NA,8945.563,10205.679,9719.397,10908.051,12545.889,NA
1,31426.75,32094.887,33207.213,36803.005,37290.36,NA,-19322.859,-19526.375,-19780.766,-22663.138,-22249.131,NA,50749.609,51621.262,52987.97900000001,59466.143,59539.491,NA
1,18284.307,19496.288,20744.458,22915.075,24176.672,NA,-2508.094,-2293.84,-1989.981,-2202.201,-1981.864,NA,20792.401,21790.128,22734.439,25117.276,26158.536,NA
1,NA,11178.3039194436,12219.4388098639,14630.8988937569,17840.8833581784,NA,NA,-4713.92589280051,-5112.63098197715,-7089.70913214115,-7497.24466666333,NA,NA,15892.22981224411,17332.06979184105,21720.60802589805,25338.128024841728,NA
1,NA,12401.705,14635.151,15926.157,16167.297,NA,NA,-5504.3330000000005,-6915.776,-7537.554,-6895.382,NA,NA,17906.038,21550.927,23463.711,23062.679,NA
1,4122.671,4126.518,5143.391,5081.14,5201.75,NA,-1139.815,-1057.475,-1539.88,-1729.845,-1399.459,NA,5262.486000000001,5183.993,6683.271,6810.985000000001,6601.209,NA
1,13726.962,14143.756,18148.661,19381.423,20515.839,NA,-4259.898,-2874.673,-4232.954,-4925.555,-3497.855,NA,17986.86,17018.429,22381.614999999998,24306.978,24013.694,NA
1,4644.862,4855.236,5280.995,6518.479,5053.433,NA,-2127.782,-2253.3109999999997,-2450.0480000000002,-3991.854,-2878.299,NA,6772.644,7108.547,7731.043,10510.333,7931.732,NA
1,2253.655,2082.025,3447.573,4554.212,3719.503,NA,-2263.103,-2080.047,-3388.8799999999997,-4347.612,-3320.125,NA,4516.758,4162.072,6836.4529999999995,8901.824,7039.628000000001,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10338.2057173323,10467.5904021158,11284.3774634855,11246.2112767131,12457.7555259268,NA,-1042.598142630535,-947.9184962207662,-1063.4677728761978,-822.0804574089811,-1029.5342869164365,NA,11380.803859962834,11415.508898336566,12347.845236361698,12068.291734122082,13487.289812843235,NA
1,13407.949,15444.189,17316.73,17448.387,19001.216,NA,-4787.631,-5310.15,-5054.369,-4044.002,-4343.309,NA,18195.58,20754.339,22371.099,21492.389,23344.525,NA
1,26853.611,26684.958,40778.684,41149.294,43785.483,NA,-7451.889999999999,-5983.74,-18553.03,-17576.507,-18133.036,NA,34305.501000000004,32668.697999999997,59331.714,58725.80100000001,61918.519,NA
1,20285.167,23503.695,24151.091,27591.204,35197.976,NA,-11386.411,-13640.378,-14025.636,-17194.03,-18423.978,NA,31671.578,37144.073000000004,38176.727,44785.234,53621.954,NA
1,9594.513,6621.763,7931.76,8170.535,7536.859,NA,-4916.098,-2846.6440000000002,-3727.04,-4425.396000000001,-3490.904,NA,14510.611,9468.407,11658.8,12595.931,11027.763,NA
1,13569.113,17171.706,16894.207,17353.422,17688.27,23317.451,-4992.42,-5774.377,-5308.168,-5552.507,-5763.3060000000005,-8792.551,18561.533,22946.083,22202.375,22905.928999999996,23451.576,32110.002
1,464,137,49,267,460,NA,-127,-353,-50,-1320,-3493,NA,591,490,99,1587,3953,NA
1,0.058,0.213,0.213,0.002,0.002,NA,-2.283,-2.438,-2.438,0,0,NA,2.3409999999999997,2.6510000000000002,2.6510000000000002,0.002,0.002,NA
1,17557.456,18815.248,18669.469,18961.61,19123.902,NA,-11499.871,-12406.867999999999,-12075.561,-12797.391,-12986.25,NA,29057.326999999997,31222.115999999998,30745.03,31759.001,32110.152,NA
5,106458,110243,111340,120093,123457,NA,-50072,-44694,-30180,-40600,-45938,NA,156530,154937,141520,160693,169395,NA
1,4972.266,7891.054,9605.538,10810.396,10419.756,NA,-3933.777,-5487.6630000000005,-6485.92,-7539.9000000000005,-7235.093000000001,NA,8906.043,13378.717,16091.458,18350.296000000002,17654.849000000002,NA
1,3461.59819331616,8965.84180466602,9224.19618321384,9690.39327484117,10173.7212060247,NA,-2456.2457565605073,-7517.2812588023,-7726.6416101328505,-6483.122868661406,-5964.24290941244,NA,5917.8439498766675,16483.12306346832,16950.83779334669,16173.516143502577,16137.96411543714,NA
54,6443.46281522162,7431.13924630727,8011.57014218819,8086.10311546802,10328.1170838123,NA,-1697.95723584206,-2163.60253642227,-2003.30943659839,-1813.48319624794,-2961.53555102331,NA,8141.42005106368,9594.74178272954,10014.87957878658,9899.58631171596,13289.65263483561,NA
1,10574.459,13156.68,16135.486,16152.057,NA,NA,-4377.401,-5507.525,-8007.951000000001,-6599.688,NA,NA,14951.86,18664.205,24143.437,22751.745000000003,NA,NA
1,12056.454,11462.633,13615.589,14626.469,18259.398,NA,-10013.276,-7227.746999999999,-8142.5650000000005,-9328.135999999999,-10890.209,NA,22069.73,18690.379999999997,21758.154000000002,23954.604999999996,29149.607000000004,NA
1,4851.40309001504,6306.48931905602,10031.6088326565,NA,NA,NA,-1636.43096124496,-1764.83768749593,-1822.42894497422,NA,NA,NA,6487.83405126,8071.32700655195,11854.037777630721,NA,NA,NA
1,4658.967,4331.857,4624.929,5303.466,6335.294,NA,-3175.3140000000003,-2831.058,-3079.77,-3761.035,-4853.99,NA,7834.281,7162.915,7704.6990000000005,9064.501,11189.284,NA
1,13993,13498,15567,17038,13128,NA,-9729,-3144,-6571,-10378,-3499,NA,23722,16642,22138,27416,16627,NA
1,15242.679,15661.782,16150.417,23510.043,NA,NA,-14393.796,-13823.672999999999,-13733.171999999999,-23224.089,NA,NA,29636.475,29485.454999999998,29883.589,46734.132,NA,NA
1,21169.318,23902.943,21089.39,20610.35,21664.421,NA,-3851.192,-3922.788,-2849.2690000000002,-3552.991,-3575.048,NA,25020.51,27825.731,23938.659,24163.341,25239.468999999997,NA
1,5307.59162592421,6808.65138890717,9949.33795347086,9558.05443493348,NA,NA,-2824.803461239399,-3434.572903181067,-6055.57863670661,-5805.71228678061,NA,NA,8132.39508716361,10243.224292088238,16004.91659017747,15363.76672171409,NA,NA
1,9688.701,10566.921,10376.338,10588.818,11632.101,NA,-3400.174,-3377.0530000000003,-3056.088,-2527.487,-2852.312,NA,13088.875,13943.974,13432.426,13116.305,14484.413,NA
1,18852.332,20130.6,21449.315,22936.065,23649.867,28741.46,-8994.098,-8872.819,-9088.228,-9446.672999999999,-9256.981,-12443.621,27846.43,29003.418999999998,30537.542999999998,32382.737999999998,32906.848,41185.081
36,21146.954,21780.171,21818.547,28906.572,31090.425,25735.835,-8325.575,-8461.688,-7573.224,-13449.98,-13050.946,-10900.219000000001,29472.529000000002,30241.858999999997,29391.771,42356.551999999996,44141.371,36636.054000000004
1,6873.7,6821.043,8359.799,8343.067,9535.244,10905.124,-3119.7290000000003,-2840.317,-4045.826,-4016.343,-4591.029,-5646.701,9993.429,9661.36,12405.625,12359.41,14126.273000000001,16551.825
1,14009.933,13399.682,14750.05,17428.63,18906.004,NA,-5524.188,-2571.433,-2091.385,-3397.688,-4008.7690000000002,NA,19534.121,15971.115000000002,16841.434999999998,20826.318,22914.773,NA
1,18807,20278.576,22761.756,24590.011,23942.291,NA,-15338.236,-14181.017,-15398.536,-18400.091,-18995.858,NA,34145.236000000004,34459.593,38160.292,42990.102,42938.149000000005,NA
1,14978.947,15402.116,17055.852,17836.005,18449.655,NA,-9652.378,-8659.878,-10203.317000000001,-9554.726,-9101.208,NA,24631.325,24061.994,27259.169,27390.731,27550.862999999998,NA
1,9192.552,9302.147,10520.715,10842.231,11277.968,NA,-4977.399,-4924.007,-6045.145,-5876.371999999999,-6587.92,NA,14169.951000000001,14226.154,16565.86,16718.603,17865.888,NA
1,11708.966,12018.377,12730.279,13265.728,14190.896,NA,-5404.688,-5450.618,-5298.923000000001,-5481.3,-5681.104,NA,17113.654000000002,17468.995000000003,18029.202,18747.028,19872,NA
48,39640.141,40708.092,41066.407,41409.894,41741.851,44129.298,-4245.803,-4522.55,-4063.5389999999998,-3951.571,-4032.6459999999997,-4052.628,43885.944,45230.642,45129.945999999996,45361.465,45774.497,48181.926
1,14780.866,15007.125,14761.932,10934.442,13407.778,NA,-250.154,-316.131,-3007.98,-3812.768,-5971.611,NA,15031.02,15323.256,17769.912,14747.21,19379.389,NA
1,3313.992,3955.562,4448.715,5650.526,6636.248,NA,-801.531,-954.56,-923.021,-1462.054,-1677.007,NA,4115.523,4910.121999999999,5371.736,7112.58,8313.255,NA
1,NA,8204.221,15558.293,16015.935,12172.339,NA,NA,-8157.686,-15627.991,-16455.054,-13242.113,NA,NA,16361.907,31186.284,32470.989,25414.451999999997,NA
1,35574.842,40385.667,37692.032,38914.779,38607.455,NA,-9785.178,-11241.841,-7962.008,-8550.051,-7254.946,NA,45360.02,51627.508,45654.04,47464.83,45862.401,NA
1,7884.313,7389.441,8710.446,8389.245,8854.165,NA,-2897.572,-2649.305,-3191.3630000000003,-2900.0420000000004,-3283.511,NA,10781.885,10038.746,11901.809000000001,11289.287,12137.676000000001,NA
1,10955.977,11467.668,12402.999,11611.46,11517.85,NA,-7915.04,-7262.807,-8504.286,-8346.059,-7710.0599999999995,NA,18871.017,18730.475,20907.285,19957.519,19227.91,NA
1,12867.75,12785.202,15569.408,14220.253,14631.086,NA,-7023.804,-6320.897,-9847.784,-8387.895,-8787.934,NA,19891.554,19106.099,25417.192,22608.148,23419.019999999997,NA
1,4758.384,5709.841,5640.786,7464.408,11150.684,NA,-1919.451,-1918.285,-1658.735,-2487.245,-4346.827,NA,6677.835,7628.126,7299.521,9951.653,15497.510999999999,NA
1,26465.264,22975.117,20831.291,23786.795,18733.811,NA,-23480.912,-19901.979,-18226.629,-20112.959,-16361.169000000002,NA,49946.176,42877.096,39057.92,43899.754,35094.98,NA
1,31892.073,31581.655,15747.182,18936.117,13540.955,NA,-14019.61,-13571.708999999999,-12419.393,-14198.586,-8519.979,NA,45911.683000000005,45153.364,28166.575,33134.702999999994,22060.934,NA
1,8105.779,7149.033,9224.698,8240.753,8849.267,NA,-4247.1939999999995,-2953.154,-4872.034,-3821.842,-4101.114,NA,12352.973,10102.187,14096.732,12062.595000000001,12950.381,NA
1,7461.973,8222.778,7800.394,7838.88,NA,7786.421,-1986.7109999999998,-2114.959,-1644.217,-1917.7,NA,-1943.895,9448.684,10337.737000000001,9444.611,9756.58,NA,9730.316
1,3160.777,2842.238,4821.731,7160.595,7179.93,NA,-2207,-1540.4240000000002,-3229.3509999999997,-4714.155000000001,-3749.65,NA,5367.777,4382.662,8051.081999999999,11874.75,10929.58,NA
1,22498.15,22110.767,22840.486,12500.269,13246.135,NA,-15263.252,-13532.309,-14604.045999999998,-5507.135,-5116.204,NA,37761.402,35643.076,37444.532,18007.404000000002,18362.339,NA
29,8609.699,9486.985,10671.845,10588.785,11932.25,NA,-3045.939,-3061.82,-3406.158,-2729.364,-2968.6459999999997,NA,11655.638,12548.805,14078.002999999999,13318.149,14900.896,NA
1,332.363,3746,7382,6800,7201,NA,-332.363,-3746,-7382,-6800,-7201,NA,664.726,7492,14764,13600,14402,NA
1,5505.663,6046.552,6000.832,6337.501,7352.995,NA,-2248.5,-2547.805,-2474.08,-2837.695,-3952.587,NA,7754.163,8594.357,8474.912,9175.196,11305.582,NA
1,24924.422,21092.378,22710.614,21640.126,20142.5,NA,-13395.091,-9474.645,-11046.575,-10003.992,-8534.86,NA,38319.513,30567.023,33757.189,31644.118000000002,28677.36,NA
1,24924.422,21092.378,22710.614,21640.126,20142.5,NA,-13395.091,-9474.645,-11046.575,-10003.992,-8534.86,NA,38319.513,30567.023,33757.189,31644.118000000002,28677.36,NA
1,8408.328,8420.991,12414.58,11592.214,12997.828,NA,-4329.389999999999,-4072.831,-8410.11,-7505.721,-8265.095000000001,NA,12737.717999999999,12493.822,20824.690000000002,19097.934999999998,21262.923000000003,NA
1,16138.896,20489.386,24984.274,31488.936,33892.544,NA,-9885.92,-12394.030999999999,-14573.972,-19830.392,-20557.803,NA,26024.816,32883.417,39558.246,51319.328,54450.347,NA
1,15862.946,46242.88,42751.268,38521.999,38403.763,NA,-8255.780999999999,-33361.326,-29399.756,-26142.733999999997,-25850.217,NA,24118.727,79604.206,72151.024,64664.733,64253.979999999996,NA
1,8857.503,9373.015,10409.659,10611.329,12381.241,NA,-4028.886,-3954.821,-4534.413,-4305.657999999999,-4969.933,NA,12886.389000000001,13327.836,14944.072,14916.987,17351.174,NA
1,3685.537,4723.908,5305.672,7342.421,8795.314,9228.793,-2054.111,-2908.085,-2913.237,-4723.871999999999,-5583.889,-6422.912,5739.647999999999,7631.993,8218.909,12066.293,14379.203000000001,15651.705
1,12343.199,13767.753,15213.912,17094.262,17310.877,NA,-2972.292,-2749.4320000000002,-2589.8360000000002,-2865.6009999999997,-2611.026,NA,15315.491,16517.185,17803.748,19959.862999999998,19921.903,NA
1,13713.065,13163.614,14362.16,12151.908,12847.334,NA,-6892.794,-5141.637,-4560.784,-1636.585,-1649.946,NA,20605.859,18305.251,18922.944,13788.492999999999,14497.28,NA
1,16914.2392086414,18966.3004797515,19523.3005627343,21134.370473253,34316.0085356069,NA,-8435.38532121246,-8580.426814462171,-9366.28661401683,-11097.759056785271,-11696.884804763731,NA,25349.62452985386,27546.72729421367,28889.58717675113,32232.12953003827,46012.89334037063,NA
1,8029.373,8162.244,8167.471,7882.983,9676.031,NA,-3356.391,-4066.2560000000003,-4245.716,-3596.823,-4701.476000000001,NA,11385.764,12228.5,12413.187,11479.806,14377.507000000001,NA
1,0.316,10084.896,10886.896,12483.953,11947.198,NA,0,-3991.688,-4131.74,-4987.3279999999995,-5480.915,NA,0.316,14076.584,15018.636,17471.281,17428.113,NA
1,21764.995,23281.299,20152.703,22043.917,20145,NA,-10652.167000000001,-10223.940999999999,-5305.151,-5267.419,-11562,NA,32417.162,33505.24,25457.854,27311.336000000003,31707,NA
1,19613.533,16677.18,15766.184,15306.947,13411.454,NA,-15815.847000000002,-13887.305,-13109.512999999999,-12565.517,-10829.304,NA,35429.380000000005,30564.485,28875.697,27872.464,24240.758,NA
1,NA,0.1,16744.509,16911.841,19729.81,NA,NA,0,-12211.317,-11995.242,-12584.967,NA,NA,0.1,28955.825999999997,28907.083,32314.777000000002,NA
27,219106.277,234281.374,263355.708,285334.122,316283.926,NA,-41253.369,-33138.53,-38280.114,-41585.665,-50696.312999999995,NA,260359.646,267419.904,301635.822,326919.78699999995,366980.23899999994,NA
1,25353.957,24127.915,23213.062,23842.474,30674.282,NA,-12997.189999999999,-11258.136,-10554.801,-9799.51,-24959.638,NA,38351.147,35386.051,33767.863,33641.984,55633.92,NA
1,6412.1646061566,11807.3379371908,13204.4458658752,13008.9207570848,16561.7229826657,NA,-109.91191798518,-2637.0958067145602,-2156.811823506829,-1833.1528080581652,-2188.796555192834,NA,6522.076524141779,14444.43374390536,15361.257689382028,14842.073565142964,18750.519537858534,NA
1,12257.169,15047.899,16078.663,16071.634,16030.6,16081.316,-7395.345,-10198.992,-11131.168,-9963.821,-9739.253,-9786.665,19652.514,25246.891,27209.831,26035.455,25769.853000000003,25867.981
1,0.559,0.525,0.525,0.002,0.002,NA,-9.181,-9.147,-9.147,0,0,NA,9.739999999999998,9.672,9.672,0.002,0.002,NA
1,10498.941,11776.141,14397.176,15442.097,18352.477,NA,-1256.518,-1640.837,-2004.61,-2237.825,-2921.264,NA,11755.459,13416.978,16401.786,17679.922,21273.740999999998,NA
1,8122,9787,14929,24571,58512,NA,-11462,-16267,-23516,-37061,-48448,NA,19584,26054,38445,61632,106960,NA
46,7488.232,7994.168,8630.989,9498.572,9904.182,NA,-3875.1310000000003,-4388.017,-4740.541,-5228.974,-5096.567,NA,11363.363000000001,12382.185,13371.529999999999,14727.546,15000.749,NA
1,12538.346,12397.904,13096.436,12737.941,11539.184,NA,-7647.395,-7002.978,-8060.404,-7378.635,-6608.555,NA,20185.741,19400.882,21156.84,20116.576,18147.739,NA
1,9423.05618629149,NA,12273.3352514608,12205.4289280216,14184.0547211365,NA,-2008.841710452958,NA,-2726.489162393769,-2502.3442738932154,-3555.534424289699,NA,11431.897896744447,NA,14999.824413854569,14707.773201914815,17739.5891454262,NA
1,802.939254318018,9970.86017756554,11494.6480302059,11443.582556288,13396.3482710168,NA,-702.47096503781,-1944.6361596722581,-2726.489162393769,-2502.3442738932154,-3555.534424289699,NA,1505.4102193558278,11915.496337237799,14221.13719259967,13945.926830181215,16951.8826953065,NA
1,22328.188,22475.333,22415.581,23048.665,24455.418,NA,-15283.522,-14786.002,-14396.208,-14855.536,-15322.52,NA,37611.71,37261.335,36811.789,37904.201,39777.938,NA
1,3667.72,3303.813,3151.41,6620.282,6447.414,NA,-47.613,-44.395,-37.637,-3156.4539999999997,-3183.6479999999997,NA,3715.3329999999996,3348.208,3189.047,9776.736,9631.062,NA
1,13990.591,17008.737,16331.32,16586.993,18482.803,NA,-8076.391,-10600.056,-9565.687,-9330.502,-10325.76,NA,22066.982,27608.793,25897.006999999998,25917.495,28808.563000000002,NA
1,42818.98,34164.974,31217.51,31970.114,34753.25,NA,-26421.573,-15000.825,-10448.91,-9502.963,-8438.726999999999,NA,69240.553,49165.799,41666.42,41473.077000000005,43191.977,NA
29,23277.821,23232.678,23983.554,24416.378,NA,NA,-3762.452,-2848.369,-2668.699,-2387.6200000000003,NA,NA,27040.273,26081.047,26652.253,26803.998,NA,NA
1,23244.597,23404.64,24121.077,25012.004,NA,NA,-3919.835,-3181.613,-2937.9880000000003,-3088.006,NA,NA,27164.432,26586.253,27059.065000000002,28100.010000000002,NA,NA
46,10633.1591976755,11626.7245361265,10786.5654540878,11199.6171718124,NA,NA,-6764.39253486465,-7304.56732183854,-7455.63022274658,-6951.83355722186,NA,NA,17397.551732540152,18931.29185796504,18242.19567683438,18151.45072903426,NA,NA
1,0.1,27269.996,29228.511,30209.025,31490.215,28193.628,0,-27196.768,-27276.244,-26242.967,-23568.982,-19272.987,0.1,54466.763999999996,56504.755,56451.992,55059.197,47466.615000000005
1,6939.844,7411.112,8098.609,8481.8,8476.825,NA,-3526.2430000000004,-3543.391,-3549.509,-3474.848,-3473.206,NA,10466.087,10954.503,11648.118,11956.648,11950.031,NA
1,7835.61167237901,8708.73376633904,9537.55831829383,9790.21092226136,11500.1671618232,NA,-2926.786397537176,-2591.2439980193362,-2546.645367895785,-2111.494774033512,-2882.214560127526,NA,10762.398069916186,11299.977764358377,12084.203686189616,11901.705696294872,14382.381721950725,NA
1,8692.903,9882.975,15623.314,16193.74,14436.087,NA,-8329.968,-8895.309,-14475.743999999999,-12634.147,-7623.533,NA,17022.871,18778.284,30099.057999999997,28827.887000000002,22059.62,NA
1,17205.66,18805.75,19236.877,20281.661,14785.267,NA,-8340.547,-9052.597,-8928.025,-9351.598,-2800.075,NA,25546.207000000002,27858.347,28164.902000000002,29633.259,17585.342,NA
1,9955.165,10402.841,10512.355,10304.47,NA,NA,-5750.088,-5694.909,-5958.0650000000005,-5217.182,NA,NA,15705.253,16097.75,16470.42,15521.651999999998,NA,NA
5,10490.122,10429.829,10770.671,6893.675,7719.066,NA,-2920.857,-2932.93,-3494.867,-6600.922,-7421.106,NA,13410.979,13362.759,14265.538,13494.597,15140.171999999999,NA
1,315601.789,821648,962018,315944.403,329802.964,NA,-132885.282,-521581,-643588,-144609.874,-162050.959,NA,448487.071,1343229,1605606,460554.277,491853.92299999995,NA
1,7667.71936780259,8326.81123109804,9993.10010049243,10623.0611796123,11044.8077614776,NA,-3336.083934692864,-3366.9697312704207,-4091.9139619765688,-3552.303902308381,-2743.13197610326,NA,11003.803302495453,11693.78096236846,14085.014062468998,14175.365081920681,13787.939737580858,NA
1,15647.84,15103.437,15868.358,16430.814,17220.912,NA,-10209.105,-9644.452000000001,-10000.244999999999,-11560.392,-11145.649000000001,NA,25856.945,24747.889000000003,25868.603,27991.206,28366.561,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25781.41,27223.73,34254.788,32448.487,16645.565,NA,-15402.649000000001,-16422.83,-22533.629999999997,-21531.763,-6878.314,NA,41184.059,43646.56,56788.418,53980.25,23523.879,NA
1,2532.242,10018.512,10788.845,14964.305,13856.993,NA,-2172.575,-10374.216,-11884.237000000001,-13023.773000000001,-9943.322,NA,4704.817,20392.728000000003,22673.082000000002,27988.078,23800.315000000002,NA
1,82395,97044,104188,94604,83115,NA,-38669,-47784,-59422,-56125,-29857,NA,121064,144828,163610,150729,112972,NA
1,12945.802,13391.696,14712.352,15577.699,16107.965,NA,-6657.320000000001,-7007.447,-8014.977,-8559.183,-8245.826,NA,19603.122,20399.143,22727.329,24136.882,24353.790999999997,NA
1,47640.964,79154.63,77826.617,79793.156,83934.812,NA,-19856.608,-26605.717,-19593.696,-18888.021,-22079.145,NA,67497.572,105760.34700000001,97420.313,98681.177,106013.95700000001,NA
1,14575.824,16130.224,16760.544,20018.285,20027.518,NA,-8302.869,-9540.154,-9941.317000000001,-12162.400000000001,-11599.255000000001,NA,22878.693,25670.378,26701.861000000004,32180.685,31626.773,NA
1,9243.135,12291.156,14130.271,28684.744,29492.683,NA,-6195.807,-9338.19,-10471.626,-13419.734,-13613.521,NA,15438.942,21629.346,24601.897,42104.478,43106.204,NA
