date,year,quarter,Agriculture,Forestry,Fishing,Mining,Manufacturing: food,Manufacturing: textiles,Manufacturing: wood,Manufacturing: paper,Printing,Manufacturing: coke,Manufacturing: chemicals,Manufacturing: pharmaceuticals,Manufacturing: rubber,Manufacturing: minerals,Manufacturing: metals,Manufacturing: fabricated metals,Manufacturing: computers,Manufacturing: electrical,Manufacturing: machinery,Manufacturing: motor vehicles,Manufacturing: other transport,Manufacturing: other,Machinery repair,Electricity,Water,Sewerage,Construction,Wholesale/retail: motor vehicles,Wholesale: other,Retail: other,Land transport,Water transport,Air transport,Warehousing,Postal,Accommodation/food services,Publishing,Film,Telecoms,Programming,Financial,Insurance,Other financial/insurance services,Real estate,Imputed rents,Legal/accounting,Architecture,R&D,Advertising,Other professional,Rental services,Employment services,Travel,Other office services,Public administration,Education,Health,Social work,Arts,Sports,Membership organizations,Household goods repair,Other personal services,Household employers
2014-12-31,2014,4,1656,-94,127,974,1804,1697,621,100,-18,118,876,852,174,542,459,528,-29,371,1311,2380,184,-22,0,-320,-17,-186,529,0,0,0,0,0,0,0,0,0,-35,433,0,103,0,0,0,0,0,117,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-31,2015,4,732,48,-22,1072,1781,508,-286,-62,179,-588,142,-115,-106,-646,39,-841,-783,-530,-1052,3110,-413,107,0,179,10,124,5035,0,0,0,0,0,0,0,0,0,17,86,0,56,0,0,0,0,0,358,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-31,2016,4,-1306,-57,-42,-2307,-293,-1155,897,28,-117,-151,-70,772,86,-256,-582,-207,1457,126,73,-1328,864,-33,0,-76,2,-131,3598,0,0,0,0,0,0,0,0,0,261,-133,0,190,0,0,0,0,0,-334,-684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-31,2017,4,98,-124,-89,458,-520,-36,-408,-107,51,-467,-205,37,143,245,422,-227,336,300,624,1662,-1080,-219,0,-66,-5,38,1823,0,0,0,0,0,0,0,0,0,-108,484,0,32,0,0,0,0,0,127,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-31,2018,4,-334,-735,-17,-2127,1278,-192,89,-92,285,-1217,177,93,-184,-69,84,196,-198,145,980,600,224,-21,0,-184,61,-62,3239,0,0,0,0,0,0,0,0,0,-39,341,0,31,0,0,0,0,0,-602,-580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,2019,4,818,528,93,1335,405,-102,507,132,-289,309,607,634,-33,114,378,559,634,-61,799,714,-845,-481,0,-8,-9,284,-4533,0,0,0,0,0,0,0,0,0,-367,-543,0,-156,0,0,0,0,0,281,-442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,2020,4,-862,-216,74,187,555,105,136,109,-163,1158,-82,364,377,-78,8,-757,133,411,625,-2580,283,357,0,-2,-19,-246,-310,0,0,0,0,0,0,0,0,0,120,-15,0,106,0,0,0,0,0,754,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-31,2021,4,-215,-436,-171,-4007,3226,1898,-1005,-152,88,-4029,309,687,-117,982,-851,730,1116,1096,1628,-717,-285,1469,0,-409,55,61,-3618,0,0,0,0,0,0,0,0,0,335,-123,0,101,0,0,0,0,0,-166,-508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-31,2022,4,42.91245342316305,181.58239657453169,25.82687854084814,854.3405122734322,-819.8413596683208,-504.2129458430309,97.80984718691303,48.604905418226295,-95.11466642175665,858.6798302228177,-14.506265892547361,-114.42061164323027,23.74650353285968,-51.401742795986124,51.18874130169202,-4.897272731422917,-148.15826329806708,-150.63179728467628,-230.3336849692066,-964.8266371687276,53.546316316409595,-314.1298334535379,0,76.11312535318505,-22.572172124290535,22.592807737676893,-1819.8051452617497,0,0,0,0,0,0,0,0,0,-90.52248191207687,-89.47878181958932,0,-46.361988838314794,0,0,0,0,0,73.982779106381,39.565447907498296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-31,2023,4,-24.976957949628986,-105.68903714059968,-15.032392879609707,-497.26420531807327,477.18416292528434,293.47437728140204,-56.92968463388997,-28.2902183849839,55.360969464562835,-499.78988151008923,8.443292431486123,66.59788890190048,-13.821522026303064,29.91810222763902,-29.794125877143998,2.850430710041617,86.23470384679575,87.67441072538611,134.06445693346498,561.572047806466,-31.166339472694606,182.83754516487048,0,-44.3012267934136,13.138008876366786,-13.150019721860362,1059.207595089092,0,0,0,0,0,0,0,0,0,52.68811367922343,52.08063376971971,0,26.984741102001603,0,0,0,0,0,-43.061270454868435,-23.028851762421098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,2024,4,14.537701265078391,61.515723894095586,8.749521756163407,289.42990100354217,-277.7424225570001,-170.81515028675878,33.13561042908788,16.466166313533527,-32.22254837614827,290.89995696655797,-4.914372010802297,-38.76293565025961,8.044741022998743,-17.41366716798084,17.341507413735904,-1.6590775475123831,-50.19243599382546,-51.030409479324945,-78.0314812193785,-326.859927709891,18.140196804342423,-106.41958948754394,0,25.785285866195725,-7.646905946182513,7.6538967928692365,-616.5059662654418,0,0,0,0,0,0,0,0,0,-30.666827338771977,-30.313246992169635,0,-15.706320427312432,0,0,0,0,0,25.063576086010993,13.403816752825367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-31,2025,4,-8.46158921750521,-35.804889405704834,-5.092611108203312,-168.46108507113885,161.65845239903658,99.4220205449501,-19.28640015431707,-9.584041712766036,18.7549573986026,-169.31672307462873,2.860383251738932,22.56175390843791,-4.6823973513161175,10.135529383848343,-10.09352919500669,0.9656569791235181,29.214231841858105,29.701969709088214,45.417795294632725,190.24702664569674,-10.558401970452014,61.94093787731148,0,-15.008184091648745,4.4508396287468734,-4.45490861268505,358.83391339250807,0,0,0,0,0,0,0,0,0,17.849458508834463,17.64365900905255,0,9.14177758581918,0,0,0,0,0,-14.588116875874501,-7.801617961538934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-12-31,2026,4,4.925021554665602,20.84003932981113,2.964126339948427,98.05184980869743,-94.09241480454178,-57.86804128700709,11.225543338290647,5.578338867896939,-10.916219999649968,98.54986921165553,-1.6648703697734242,-13.131945011019932,2.725363674595895,-5.89932923949211,5.874883260134329,-0.5620553437831414,-17.003983273791054,-17.287868422004756,-26.435178432994935,-110.73223750955745,6.145459907191233,-36.052382870449144,0,8.735431164023408,-2.5905867732966086,2.592955103061383,-208.8573094929994,0,0,0,0,0,0,0,0,0,-10.389179341541931,-10.269394872417797,0,-5.320921460589752,0,0,0,0,0,8.490933347015638,4.540888908002808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
