date,year,quarter,Agriculture,Forestry,Fishing,Mining,Manufacturing: food,Manufacturing: textiles,Manufacturing: wood,Manufacturing: paper,Printing,Manufacturing: coke,Manufacturing: chemicals,Manufacturing: pharmaceuticals,Manufacturing: rubber,Manufacturing: minerals,Manufacturing: metals,Manufacturing: fabricated metals,Manufacturing: computers,Manufacturing: electrical,Manufacturing: machinery,Manufacturing: motor vehicles,Manufacturing: other transport,Manufacturing: other,Machinery repair,Electricity,Water,Sewerage,Construction,Wholesale/retail: motor vehicles,Wholesale: other,Retail: other,Land transport,Water transport,Air transport,Warehousing,Postal,Accommodation/food services,Publishing,Film,Telecoms,Programming,Financial,Insurance,Other financial/insurance services,Real estate,Imputed rents,Legal/accounting,Architecture,R&D,Advertising,Other professional,Rental services,Employment services,Travel,Other office services,Public administration,Education,Health,Social work,Arts,Sports,Membership organizations,Household goods repair,Other personal services,Household employers
2011-03-31,2011,1,8274672.693333335,2858822.612594153,2842861.459873381,25956037.730783075,51385682.14666667,11047261.338926006,2793854.6746404744,1892345.3200000003,5327073.135250643,7556568.255555555,25083595.91774658,35995280.27555556,14001662.311111111,16987964.922303647,5588651.877777778,13916513.697777778,44284973.411111094,19090538.851111114,24248558.485977247,15115384.13333334,38041569.28888889,18336379.033333335,16219553.908888891,35140314.08444444,19578521.29234158,15125508.111111112,183037700.9,8706378.89223876,117635289.88730589,131281356.66666669,33263097.10000001,2918599.8180477135,8928410.10666667,28604924.75956431,20919944.602222227,49311888.38888888,80217685.7429821,39194394.022222206,68454377.07555555,194038189.88666672,272041568.35333335,49190843.03777778,135589442.44444448,28398713.891111106,0,269303691.47777784,139216093.01555556,73541756.83555557,61321731.32,44581268.52,11684708.564444441,45100505.36000001,12813711.358489566,53656457.19999999,451792949.02222216,905980475.8533334,479621026.57555556,270173778.85111105,45226851.648888886,31794329.748888895,51914485.68000001,2483897.9256721707,5688576.533333335,819309.0786435239
2011-06-30,2011,2,1956447.6933333324,6855818.168149708,2930212.2345898775,38120856.73078309,50127953.81333333,6204084.67225934,2363914.308932555,6950089.320000001,2872107.3842866253,9330797.811111113,32968215.411111113,46346879.8311111,13784238.088888891,11272689.033414759,11771079.655555554,22567068.80888889,79297879.18888888,18473622.62888889,34791966.81931058,11024845.13333333,35529049.5111111,17454928.033333335,16776059.131111108,28668955.52888889,3779741.356744854,17827343.222222224,171792346.23333332,10440925.716961466,76189810.33175038,137456820.6666667,25656783.76666666,2578326.0402699336,31107590.773333337,31739017.80666668,11952901.491111109,60577557.94444445,48117109.62894835,56669359.24444445,73975879.29777777,223739885.55333328,252123022.35333332,78951931.48222221,119125208.22222227,48023448.002222225,0,325468951.2555555,138037278.23777777,38718050.39111112,27807250.319999993,51089069.51999999,870331.6755555551,36419028.36,16163417.691822901,47846756.53333332,501779150.911111,907749833.8533335,477633636.4644444,184220449.2955556,34543887.204444446,36996996.63777777,61523363.013333336,4592648.359448516,7033913.200000001,1404315.410217379
2011-09-30,2011,3,5368607.037576421,2489350.4846935035,2956029.047157218,46173872.84189419,28083476.924444444,8517321.783370452,3901880.1014725724,3301696.5422222232,11313514.6908062,8581477.255555555,19266021.3,59107065.16444446,8959069.42222222,4225253.033414759,15655173.211111112,16832788.364444446,61719157.52222222,5503705.7399999965,37035990.544405386,23780206.13333333,36220085.28888889,17259226.69999999,19283333.908888876,57360893.75111111,13254965.467855964,12066026.555555554,196210547.5666667,11384119.33668321,65934845.22063923,132526428.66666669,33539097.877777793,5841472.3378071105,12284748.773333333,17410048.47333333,13436355.268888893,57554541.388888896,66146278.96520433,47561483.35555555,63871131.74222223,182287893.77555555,189440160.79777774,63410317.92666668,145709001.88888887,45532852.33555555,0,257484940.0333333,164097017.79333335,33602581.28,50535890.097777784,44831183.85333333,13667723.00888889,47963656.47111111,10866957.914045118,43481822.4222222,447868271.0222223,873555970.8533334,472692651.35333335,217014950.96222225,39078713.42666667,30999468.748888887,86679839.12444441,5302325.026115185,11236006.977777777,1003224.7723446144
2011-12-31,2011,4,5110975.471111112,5232676.336519573,1952013.4990578163,24074649.908075787,34224020.36888889,3466944.454512093,954685.7496566428,2677369.0977777774,8173635.579695091,6867572.922222223,27479108.522222225,52332631.72000001,5735525.311111111,4751450.931223629,3141250.211111109,11967422.58666667,73288504.74444446,18572544.740000006,37014962.041532815,20846830.911111116,21865299.84444444,10921591.477777775,15127235.131111108,39557035.08444445,11904907.578967072,11036458.999999996,162427401.7888889,15110928.003349878,64167549.625383124,139196627.8888889,28467134.1,636897.2323487718,21237183.773333333,33567280.47333333,6342358.713333335,56063517.83333331,57123044.96520433,53401541.35555556,43600915.186666675,251750267.33111107,180165149.02,52024550.260000005,119471010.55555552,48208242.78,0,268125184.25555563,140525788.34888887,33630196.391111106,47409205.87555556,25827358.18666666,14179295.564444445,37934389.582222216,10791461.94811637,55493796.866666675,411265402.13333344,932091252.0093342,440456495.02,188574411.6288889,44213489.648888886,19043680.748888895,55002172.45777775,6338663.581670739,2218917.977777779,907832.531389408
2012-03-31,2012,1,6408963.693333335,416704.6125941528,3690414.665176728,43319626.730783075,41575687.14666667,12753449.338926006,3345301.6746404744,2635829.3200000003,10318184.135250643,4896136.255555555,21173387.522222217,50490923.27555556,9783773.311111111,9106424.922303649,12451913.877777778,27225652.697777778,66879737.411111094,11676311.851111112,34004571.48597725,15362711.13333334,49675238.28888889,17160987.033333335,7639612.908888891,35787675.08444444,13144465.292341579,13241023.111111112,166580486.9,4328843.89223876,88243774.88730589,145545306.6666667,38943386.10000001,3745464.8180477135,9995143.10666667,32761678.473333336,9134124.602222225,70120606.38888888,76087378.7429821,55041378.022222206,42132789.07555555,260692021.88666672,209720462.35333335,62714734.03777778,138541339.44444448,70041951.8911111,0,264585486.47777784,141866812.01555556,50613457.83555557,57866541.32,32234715.520000003,12518536.564444441,31622370.360000007,10647825.358489566,54632858.19999999,513121114.02222216,943677351.8533334,500320846.57555556,226947867.85111108,36046388.648888886,23205353.748888895,74665617.68,5969055.925672171,8002947.533333335,838333.3324052347
2012-06-30,2012,2,5918917.693333332,2588062.168149708,3008532.0668233987,26745481.73078309,50164909.81333333,4706102.67225934,3429276.114743076,4405540.523442734,8223303.384286625,17963265.811111115,23532001.411111113,47546860.8311111,17898008.08888889,7129719.033414759,18571507.655555554,29378617.80888889,46882308.188888885,3624841.6288888883,27965667.819310583,21534882.13333333,41606583.5111111,18362406.033333335,8426231.131111108,45861495.52888889,11559279.356744854,11732863.222222222,194961890.23333332,11566213.716961466,78601269.33175038,156477721.6666667,44201810.76666666,7414315.040269934,19461369.773333337,31153330.80666668,7566996.491111109,62506731.94444445,73483132.62894836,50257956.24444445,35516078.297777764,262768215.55333328,238214838.35333332,56246291.482222214,136296774.22222227,42300701.002222225,0,273590079.2555555,200262984.23777777,41819078.39111112,49584368.31999999,43000642.51999999,4189.67555555515,44910965.36,20013451.6918229,46361685.53333332,428641290.911111,918457997.8533335,503029933.4644444,238334204.2955556,48096450.204444446,32509310.637777768,58755625.013333336,4881714.359448516,18408849.200000003,601645.410217379
2012-09-30,2012,3,3398387.6933333334,3626843.484341246,2973077.376337579,35983144.84189419,36384536.924444444,9887491.783370452,5134910.101472572,4649861.542222223,11875578.6908062,16198048.255555555,19707603.3,63566000.16444446,13766925.42222222,3788743.0334147587,7424261.211111112,28895346.364444446,63379976.52222222,11045137.739999996,33590403.544405386,17412734.13333333,41156452.28888889,7159112.699999992,20777860.908888876,42625587.75111111,18837615.467855964,15747053.555555554,169767788.5666667,11685901.33668321,69157761.22063923,159609789.6666667,57876276.87777779,1578729.3378071105,16787198.773333333,20841796.47333333,7221235.268888893,57391178.388888896,77098705.96520433,32214958.35555555,44255483.74222223,242977005.77555555,178468469.79777774,64746322.92666668,167541408.88888887,47260567.33555555,0,324190067.0333333,192907927.79333335,59650122.28,54567075.097777784,56480902.85333333,9151834.00888889,37843200.47111111,10141523.914045118,53876807.4222222,501567012.0222223,938773441.8533334,576390132.3533334,216706361.96222225,30888964.42666667,52052641.74888889,59413009.12444441,5241633.280704994,9835515.038003407,319404.55939062615
2012-12-31,2012,4,4645000.471111112,2643671.3365195724,2731185.2080482314,29383725.908075787,43528559.36888889,4860171.454512093,968495.7496566428,4610164.097777777,14746169.57969509,6069746.922222223,21912624.522222225,51777491.72000001,13905416.311111111,7124889.931223629,9115808.21111111,24222578.58666667,80123515.74444446,11453675.740000006,19793458.041532815,19515448.911111116,37773938.84444444,17643826.477777775,16149069.131111108,39934885.08444445,14162502.578967072,17492510.999999996,189257929.7888889,14069186.003349878,97381057.62538312,152338826.8888889,47905089.1,1785987.2323487718,15072409.773333333,34873917.47333333,11773601.713333335,80559152.83333331,54551515.96520433,70233461.35555556,59286786.186666675,274626216.3311111,232982566.02,69416321.26,185748004.55555552,61538816.78,0,339572236.25555563,168604736.34888887,48400226.391111106,87585479.87555556,59463509.18666666,7551254.564444445,37560144.582222216,12451757.94811637,93487474.86666667,546957785.1333334,1019957349.2977777,545819375.02,230686308.6288889,48015932.648888886,37801053.748888895,71521024.45777775,5702155.581670739,6844140.977777779,1719518.531389408
2013-03-31,2013,1,8810811.693333335,464462.6125941528,3067618.665176728,37773659.730783075,32908665.14666667,10443159.338926006,7307339.674640475,5572441.32,10065613.135250643,10882316.344874451,31561593.522222217,60501990.27555556,12946657.311111111,5210749.922303649,15703707.877777778,22139966.697777778,72864189.41111109,13622482.851111112,23830533.485977247,27717914.13333334,76878241.28888889,18764701.033333335,14213304.908888891,43444300.08444444,11870421.292341579,18668318.111111112,199172043.9,19939963.89223876,68840743.88730589,171658753.6666667,51325427.10000001,2780785.8180477135,19461229.10666667,25433288.473333336,14634865.602222225,75657463.38888888,75885351.7429821,58155905.022222206,41601498.07555555,260014026.88666672,204367679.35333335,53473455.03777778,146964626.44444448,29897059.891111106,0,340666866.47777784,185828816.01555556,55516369.83555557,70654054.32,58309468.52,9424978.564444441,54084078.36000001,15964303.358489566,62910450.19999999,487393953.02222216,987901700.8533334,568249407.5755556,233808481.85111108,35712818.648888886,25559570.748888895,77163608.68,4603240.925672171,15501864.533333335,974523.0786435239
2013-06-30,2013,2,4819292.693333332,1064917.1681497078,3671359.9285927983,35689242.73078309,43431939.81333333,15171901.67225934,6454651.308932555,5625385.320000001,11373474.384286625,11658931.811111113,23964805.411111113,42452463.8311111,12074813.088888891,3970503.0334147587,3309646.6555555537,12557767.80888889,47631287.188888885,6797352.628888888,36675277.81931058,19787999.13333333,24934427.511111103,28366336.033333335,19792643.131111108,45771665.52888889,13573058.356744854,17199753.222222224,203879752.23333332,18152998.716961466,88792143.33175038,197110532.6666667,42052598.76666666,8254054.040269934,7080142.773333337,48754700.80666668,18248808.491111107,60947807.94444445,55016218.62894835,41024246.24444445,54814758.297777764,263941808.55333328,198915070.35333332,60211666.482222214,184636100.22222227,42114767.002222225,0,367233444.2555555,153024616.23777777,51871862.39111112,73100045.32,45769395.51999999,11996436.675555555,47609673.36,18522595.6918229,69397059.53333332,445113938.911111,946094998.8533335,568689428.4644444,286413601.2955556,54412411.204444446,30395718.637777768,61341432.013333336,7461520.359448516,8426335.200000001,1167858.202587545
